user_name,nickname,favs,rts,favs_rts,tweet_content,hour,date_yyyy_mm_dd,date_dd_mm_yyyy,time_code_utc
Mustafa agha,mustafa_agha,157,50,207,Apple نزلت software جديد على الآيفون يمكّن المستخدمين من مشاركة سجلهم الطبي مع اطبائهم الذين يستطيعون متابعة حالاتهم https://t.co/MqKIk5xAF3,14:38:40,2016-04-28,2016-04-28,2016-04-28T14:38:40Z
Ariana ✨,arizzzlex,131,74,205,making different accounts to get a free month of Apple Music https://t.co/PS2RPDTXl0,04:58:49,2016-04-29,2016-04-29,2016-04-29T04:58:49Z
BBC News (World),BBCWorld,95,108,203,Billionaire investor dumps Apple shares https://t.co/hVynLinbrW,05:57:31,2016-04-29,2016-04-29,2016-04-29T05:57:31Z
whiteeeen,_whiteeeen_,165,36,201,"ブログ更新しました😌😌🌸

「花言葉☆meri」

★Android https://t.co/7puWGoKzZk            
★iPhone https://t.co/pq8yiMTmoj https://t.co/BUyD7Gyzfu",10:21:18,2016-04-28,2016-04-28,2016-04-28T10:21:18Z
MIYAVI,MIYAVI_OFFICIAL,150,50,200,謝謝大家我們很開心！RT @MIYAVI_STAFF 《祝!!》国内チャート1位に続きまして、Afraid To Be Cool/ Raise Me Up  発売初日.台湾Rock部門 でもitunesチャート1位を獲得しました!! https://t.co/XLlyGKJU5z,08:11:07,2016-04-29,2016-04-29,2016-04-29T08:11:07Z
HiddenCash St. Louis,hiddencash314,54,143,197,"#applewatch RT &amp; FOLLOW .@hiddencash314 #apple https://t.co/S7hHHQCqg1",14:29:41,2016-04-28,2016-04-28,2016-04-28T14:29:41Z
pixiv Sketch,pixivsketch,122,72,194,"『カラーの絵を描きたいけどいろいろ揃えるのが大変😭』
そんなあなたにpixiv Sketch！！
Sketchで紙に描いた落書きや下書きに簡単に色つけ！💪
↓↓↓ぜひお試しください
https://t.co/UGmAJTKXA0 https://t.co/dekSZxH6d4",06:18:41,2016-04-29,2016-04-29,2016-04-29T06:18:41Z
TIME.com,TIME,130,64,194,33 questions that were asked at Apple job interviews https://t.co/Xi0yFxHXNn,03:00:11,2016-04-29,2016-04-29,2016-04-29T03:00:11Z
Where To Cop,WhereToCop,89,104,193,"Drake #VIEWS on apple music today

Interview: 10:45pm EST
Album debut: 12am EST

Subscribe: https://t.co/dEdcAwfqla https://t.co/LkYmu63WzM",01:28:55,2016-04-29,2016-04-29,2016-04-29T01:28:55Z
وليد صالح الصالح,waleed800,72,120,192,"📌جديد
اليوم تم الانتهاء لتطبيق كبارالعلماء

🔴للايفون
https://t.co/t2knBuxAhI

🔴جلكسي اندرويد
https://t.co/YduadPnQmx https://t.co/TLzWNY05d3",14:21:07,2016-04-28,2016-04-28,2016-04-28T14:21:07Z
Jeff Howe,jeffphowe,63,124,187,Giants take Eli Apple at No. 10.,01:19:03,2016-04-29,2016-04-29,2016-04-29T01:19:03Z
MyApple,MyAppleDotMy,92,94,186,Apple Malaysia kini telah ditukarkan kepada MyApple dengan wajah baru dan dlm beberapa minggu lagi kami akan terbitkan website sendiri. 😇,16:27:07,2016-04-28,2016-04-28,2016-04-28T16:27:07Z
Josh Brown,Kickingitwith3,108,73,181,"Big get for the #Gmen! Welcome to the @Giants @EliApple13. #AppleToBigApple https://t.co/pxtSgPW2zL",01:29:19,2016-04-29,2016-04-29,2016-04-29T01:29:19Z
Chris Biersack,ChrisABiersack,128,52,180,"8 days #TheShadowSide #AndyBlack https://t.co/qMyk1pW6vD https://t.co/ZfTJBXUEJC https://t.co/uv4OepujnI",14:21:50,2016-04-28,2016-04-28,2016-04-28T14:21:50Z
