picture_url,repeats
http://pbs.twimg.com/media/ChIAY0JUUAAEIoH.jpg,25
http://pbs.twimg.com/media/ChK9ZTwWgAEE8nr.jpg,25
http://pbs.twimg.com/media/ChKuYWSWgAAmENe.jpg,25
http://pbs.twimg.com/media/ChLdklNWYAQBcIQ.jpg,25
http://pbs.twimg.com/media/ChJNl67XEAASJgT.jpg,24
http://pbs.twimg.com/media/ChMexTDWYAAuZ-w.jpg,24
http://pbs.twimg.com/media/ChKF2DnWMAMNyS4.jpg,24
http://pbs.twimg.com/media/ChIuGqxW0AAFHoe.jpg,24
http://pbs.twimg.com/media/ChLdtW2UcAApXbO.jpg,24
http://pbs.twimg.com/media/ChIwBUqWkAA-xSh.jpg,24
http://pbs.twimg.com/media/ChLZ1e9U4AAZC4d.jpg,24
http://pbs.twimg.com/media/ChItLWwUgAALfRF.jpg,23
http://pbs.twimg.com/media/ChLLe1VU4AAP8Ju.jpg,23
http://pbs.twimg.com/media/ChKYPP6WwAE_6YZ.jpg,22
http://pbs.twimg.com/media/ChKauAEWYAYtrk4.jpg,22
http://pbs.twimg.com/media/ChIwDEyU4AA5cB0.jpg,22
http://pbs.twimg.com/media/ChKLRoGW4AEjU1D.jpg,22
http://pbs.twimg.com/media/Cg5JpoBWkAA5lUi.jpg,21
http://pbs.twimg.com/media/ChKNXwkWwAAszr5.jpg,21
http://pbs.twimg.com/media/ChLo_gQU8AEvY69.jpg,20
http://pbs.twimg.com/media/ChKr62BWIAQ6J6K.jpg,20
http://pbs.twimg.com/media/Cg_Nq6YUgAAmCTr.jpg,20
http://pbs.twimg.com/media/ChKJs8qWMAMy8BA.jpg,20
http://pbs.twimg.com/media/ChLdHjzWkAAJ_Sq.jpg,20
http://pbs.twimg.com/media/ChI2AKvU0AEMVAZ.jpg,20
http://pbs.twimg.com/media/ChKZbnDW0AIs-KH.jpg,20
http://pbs.twimg.com/media/ChIwakaWMAEkeog.jpg,20
http://pbs.twimg.com/media/ChJeGO5UkAAdMrN.jpg,19
